,text
0,"['dost', 'ka', 'endsem', 'kara', 'kyuki', 'uska', 'haath', 'toota', 'hua', 'hai', 'sala', 'side', 'mei', 'baithkar', 'fifa', 'khel', 'raha', 'hai']"
1,"['aao', 'raat', 'bhi', 'kharab', 'karte', 'hai', 'fifabgmi', 'khel', 'kar']"
2,"['france', 'ke', 'president', 'ne', 'aaj', 'se', 'thik', 'ek', 'sal', 'phle', 'kya', 'bola', 'thaa', 'musalmano', 'ke', 'bare', 'me', 'vo', 'jake', 'check', 'kro', 'google', 'per', 'apne', 'aap', 'dhyan', 'me', 'aa', 'jaega', 'hm', 'khud', 'kuch', 'nhi', 'kr', 'skte', 'to', 'govt', 'ko', 'blame', 'krte', 'he', 'congress', 'ya', 'koi', 'left', 'wing', 'power', 'me', 'aa', 'gya', 'to', 'kya', 'india', 'fifa', 'khel', 'lega']"
3,"['unka', 'theka', 'hm', 'ne', 'le', 'rakha', 'hai', 'hm', 'fifa', 'me', 'kaha', 'hai', 'godi', 'media', 'is', 'par', 'debate', 'chalye', 'or', 'pooche', 'sawal', 'ki', 'vishvaguru', 'ko', 'sal', 'ho', 'gye', 'world', 'cup', 'ho', 'gya', 'bharat', 'kb', 'khelga', 'godi', 'media', 'ki', 'aukat', 'nhi', 'h', 'sorts', 'ki', 'condition', 'par', 'bat', 'krne', 'ki', 'unka', 'khel', 'hindu', 'musalman', 'ho', 'chuka', 'hai']"
4,"['tum', 'log', 'ab', 'iska', 'kya', 'logic', 'hai', 'france', 'ka', 'precident', 'morocco', 'players', 'ke', 'dressing', 'room', 'm', 'jakr', 'congratulations', 'de', 'raha', 'h', 'or', 'yhan', 'propaganda', 'chalaya', 'ja', 'raha', 'h', 'aisa', 'raha', 'na', 'dost', 'to', 'samjlo', 'hm', 'fifa', 'khlte', 'rah', 'gye', 'kyoki', 'is', 'desh', 'ka', 'durbhagy', 'hai', 'ki', 'godi', 'media', 'hindu', 'muslim', 'khel', 'raha', 'h']"
5,"['aana', 'bey', 'fifa', 'khel', 'na']"
6,"['fifa', 'world', 'mai', 'aisa', 'lgta', 'h', 'ki', 'india', 'ki', 'taraf', 'se', 'argentina', 'khel', 'ri']"
7,"['wo', 'cricket', 'khel', 'ta', 'hai', 'na', 'ki', 'football', 'so', 'why', 'this', 'fifa', 'tag']"
8,"['pata', 'nahi', 'tha', 'apna', 'siraj', 'fifa', 'v', 'khel', 'raha', 'he']"
9,"['nahi', 'abhi', 'mann', 'bhatak', 'gaya', 'poori', 'psychology', 'mujhpar', 'hee', 'laga', 'rahi', 'hoaddress', 'nahi', 'dena', 'chahti', 'ho', 'fifa', 'chodo', 'khel', 'nai', 'do', 'colonists', 'ko', 'south', 'america', 'sai', 'cheering', 'for', 'argentina']"
