date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers,outlinks,tcooutlinks,sourceLabel
2018-12-31 11:03:32+00:00,1079694540607578112,@Arsal_Awaan @ZeeshanTlp Sahi baat hai...achi baten bhi krte he ye bhai...lekin ap khud btao k apne hi pm or cjp or coas. Ko galia dena bghawat nhi hai international msle uthao me bhi phir fkhr se khu ga k i am rizvi lkn apni fouj ko or cjp ko jski umr nkl gyi mlk k lie insf krte unko esa nhi khna chahie,https://twitter.com/MrJatt69/status/1079694540607578112,@Arsal_Awaan @ZeeshanTlp Sahi baat hai...achi baten bhi krte he ye bhai...lekin ap khud btao k apne hi pm or cjp or coas. Ko galia dena bghawat nhi hai international msle uthao me bhi phir fkhr se khu ga k i am rizvi lkn apni fouj ko or cjp ko jski umr nkl gyi mlk k lie insf krte unko esa nhi khna chahie,MrJatt69,17,0,0,0,0,in,1079664475245023233,,,,,1.0796886899183985e+18,https://twitter.com/Arsal_Awaan,"[User(username='Arsal_Awaan', id=3078959658, displayname='Arslan Malik 💎', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ZeeshanTlp', id=1076807314735271937, displayname='Zeeshan Tlp', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Arsal_Awaan', id=3078959658, displayname='Arslan Malik 💎', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ZeeshanTlp', id=1076807314735271937, displayname='Zeeshan Tlp', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2018-12-30 15:43:28+00:00,1079402597700853760,"@Samia_965 Wah ray ye to achi baat hai,  nahi mujje nhi sakon ki nind chahiye",https://twitter.com/Your_Paroosi/status/1079402597700853760,"@Samia_965 Wah ray ye to achi baat hai,  nahi mujje nhi sakon ki nind chahiye",Your_Paroosi,5055,0,0,0,0,hi,1079384599715872773,,,,,,,,,,,,,,,Twitter for Android
2018-12-29 13:02:16+00:00,1078999643076333568,Twitter ki sb se achi baat ye hai k yahan mere rishtedaar nhi😌 (3) https://t.co/ovlO8RSPmH,https://twitter.com/Syeda_Rizvi110/status/1078999643076333568,Twitter ki sb se achi baat ye hai k yahan mere rishtedaar nhi😌 (3) twitter.com/zareenyyyyy/st…,Syeda_Rizvi110,8636,0,0,1,1,hi,1078999643076333568,['https://twitter.com/zareenyyyyy/status/1078951894532452352'],,,https://twitter.com/zareenyyyyy/status/1078951894532452352,,,,,,,,,['https://twitter.com/zareenyyyyy/status/1078951894532452352'],['https://t.co/ovlO8RSPmH'],Twitter for Android
2018-12-28 18:32:02+00:00,1078720244611334144,@Romilchoudharyy Paiso k liye imaan ko bechna aur scha insaan ko gira kr baat krna ye achi baat nhi hai Maine season 11me vikas  ko vote kiye the lekin aj ka episode dekh kr na mujhe vikas se nfrt hogayi romil Jaise insaan k saat aise behavior krna hum romil fans ko aithraaz hai 😕,https://twitter.com/Aanisah7862/status/1078720244611334144,@Romilchoudharyy Paiso k liye imaan ko bechna aur scha insaan ko gira kr baat krna ye achi baat nhi hai Maine season 11me vikas  ko vote kiye the lekin aj ka episode dekh kr na mujhe vikas se nfrt hogayi romil Jaise insaan k saat aise behavior krna hum romil fans ko aithraaz hai 😕,Aanisah7862,4,1,9,15,0,hi,1078717391587033088,,,,,1.0787173915870331e+18,https://twitter.com/Romilchoudharyy,"[User(username='Romilchoudharyy', id=1041608504698580998, displayname='RomilChoudhary Fan🎯', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Romilchoudharyy', id=1041608504698580998, displayname='RomilChoudhary Fan🎯', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2018-12-28 02:24:46+00:00,1078476822193434624,"Waise maan bhi liya jaaye ki taran adarsh ko pay kiya gaya tha 

Lekin asli baat ye bhi hai ki 
Zero logo ko achi nhi lagi",https://twitter.com/0113br/status/1078476822193434624,"Waise maan bhi liya jaaye ki taran adarsh ko pay kiya gaya tha 

Lekin asli baat ye bhi hai ki 
Zero logo ko achi nhi lagi",0113br,1434,4,0,3,0,hi,1078476822193434624,,,,,,,,,,,,,,,Twitter for Android
2018-12-27 20:23:47+00:00,1078385977180258306,"@SRKpePHD Main zaroor karta baat but problem ye hai ki muje #Zero bahut achi lagi hai
To viewpoint ek nhi ho paega
Islie mera baat me shamil hone ka fyda hi nhi hai",https://twitter.com/HonestBhartendu/status/1078385977180258306,"@SRKpePHD Main zaroor karta baat but problem ye hai ki muje #Zero bahut achi lagi hai
To viewpoint ek nhi ho paega
Islie mera baat me shamil hone ka fyda hi nhi hai",HonestBhartendu,1740,1,0,1,0,hi,1078383775032070144,,,,,1.0783837750320701e+18,https://twitter.com/SRKpePHD,"[User(username='SRKpePHD', id=781574318354554880, displayname='🇮🇳 A N K I T 🇮🇳', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['Zero'],,"[User(username='SRKpePHD', id=781574318354554880, displayname='🇮🇳 A N K I T 🇮🇳', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone
2018-12-27 10:53:10+00:00,1078242379268874241,"@QaiserChattha @atiqabhatti1 @Laiba_noor1 @iqrarulhassan @fehma_shahid @seerat3746 @Zaira_rehman1 @dar_azka @Aqsamem84215626 @Saba_Rani28 @z_khan2000 @zartasha_here Hn to bhai...ye to achi baat hai...kia pata aap bhi pehlay whi mirchain istemaal krtay hon gai....
Hm nai to ye baat ki hi nhi kai bs iqrar bhai hero hai...ap khud sai hi kuch bhi assume kr kai boli ja rhay hn",https://twitter.com/khizra_dar/status/1078242379268874241,"@QaiserChattha @atiqabhatti1 @Laiba_noor1 @iqrarulhassan @fehma_shahid @seerat3746 @Zaira_rehman1 @dar_azka @Aqsamem84215626 @Saba_Rani28 @z_khan2000 @zartasha_here Hn to bhai...ye to achi baat hai...kia pata aap bhi pehlay whi mirchain istemaal krtay hon gai....
Hm nai to ye baat ki hi nhi kai bs iqrar bhai hero hai...ap khud sai hi kuch bhi assume kr kai boli ja rhay hn",khizra_dar,29700,1,0,0,0,hi,1077982007358095360,,,,,1.0782395130743849e+18,https://twitter.com/rjqaiserjutt,"[User(username='QaiserChattha', id=1513403519948238849, displayname='Qaiser Hamayoun Chattha', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='atiqabhatti1', id=2817246842, displayname='Atiqa⁷ 🌊 Indigo 💙 Dreamer 🔥', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Laiba_noor1', id=949850447937982464, displayname='laibanoor (Janbaaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='iqrarulhassan', id=102355805, displayname='Iqrar ul Hassan Syed', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fehma_shahid', id=933049317904003073, displayname='Fehma', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='seerat3746', id=900418305571381249, displayname='SEERAT FATIMA (Janbaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dar_azka', id=1023228223780544512, displayname='Azka Dar💕', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Aqsamem84215626', id=957332511616585730, displayname='Aqsa memon ( janbaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Saba_Rani28', id=1001577351048847360, displayname='Saba Rani 💞', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zartasha_here', id=1011654142891261955, displayname='zartasha💕', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='QaiserChattha', id=1513403519948238849, displayname='Qaiser Hamayoun Chattha', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='atiqabhatti1', id=2817246842, displayname='Atiqa⁷ 🌊 Indigo 💙 Dreamer 🔥', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Laiba_noor1', id=949850447937982464, displayname='laibanoor (Janbaaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='iqrarulhassan', id=102355805, displayname='Iqrar ul Hassan Syed', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fehma_shahid', id=933049317904003073, displayname='Fehma', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='seerat3746', id=900418305571381249, displayname='SEERAT FATIMA (Janbaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dar_azka', id=1023228223780544512, displayname='Azka Dar💕', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Aqsamem84215626', id=957332511616585730, displayname='Aqsa memon ( janbaz)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Saba_Rani28', id=1001577351048847360, displayname='Saba Rani 💞', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zartasha_here', id=1011654142891261955, displayname='zartasha💕', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2018-12-26 14:49:41+00:00,1077939510690729984,"@IDevsena @luckysi1599 @IvyAarti @ipriyankaaa7 @SupperSunny @Puja_Bhabhi11 @Cute_Didu @fri55534410 @vikipedia15 @Roshniibabe @gurooghantaal @IDevsena ye achi baat nhi @luckysi1599 dekh kar bolega @Komal__bhatiya besharam hai.
Mujhe ye dekh ka bhuk lag jati hai..",https://twitter.com/Komal__bhatiya/status/1077939510690729984,"@IDevsena @luckysi1599 @IvyAarti @ipriyankaaa7 @SupperSunny @Puja_Bhabhi11 @Cute_Didu @fri55534410 @vikipedia15 @Roshniibabe @gurooghantaal @IDevsena ye achi baat nhi @luckysi1599 dekh kar bolega @Komal__bhatiya besharam hai.
Mujhe ye dekh ka bhuk lag jati hai..",Komal__bhatiya,170873,1,1,1,0,hi,1077938943163858944,,,,,,,"[User(username='luckysi1599', id=884613676606554112, displayname='Lucky Singh 💭', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SupperSunny', id=1417577947913805824, displayname='SANDY', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fri55534410', id=866678046626955265, displayname='Good friend', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='vikipedia15', id=1027961644410753027, displayname='BollyBytes', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Roshniibabe', id=4834423547, displayname='Roshni', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='gurooghantaal', id=1112772993900535813, displayname='gurooghantaal', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='luckysi1599', id=884613676606554112, displayname='Lucky Singh 💭', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Komal__bhatiya', id=1033331108207886336, displayname='🐍🐍ज़हरीली नागिन', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='luckysi1599', id=884613676606554112, displayname='Lucky Singh 💭', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SupperSunny', id=1417577947913805824, displayname='SANDY', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fri55534410', id=866678046626955265, displayname='Good friend', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='vikipedia15', id=1027961644410753027, displayname='BollyBytes', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Roshniibabe', id=4834423547, displayname='Roshni', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='gurooghantaal', id=1112772993900535813, displayname='gurooghantaal', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='luckysi1599', id=884613676606554112, displayname='Lucky Singh 💭', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Komal__bhatiya', id=1033331108207886336, displayname='🐍🐍ज़हरीली नागिन', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2018-12-25 17:26:37+00:00,1077616618803408896,@Hinaholics @RealKartikk Sree bahoth ghamandi insaan hai sbko insult krta hai hina Khan ko bhi nhi choda usne my hina Khan ki fan hun aur mujhe sree ki ye baat jo hina Khan k liye kahi mujhe bilkul bhi achi nhi lgi I love hina I hate sreesant 😠,https://twitter.com/Aariba786/status/1077616618803408896,@Hinaholics @RealKartikk Sree bahoth ghamandi insaan hai sbko insult krta hai hina Khan ko bhi nhi choda usne my hina Khan ki fan hun aur mujhe sree ki ye baat jo hina Khan k liye kahi mujhe bilkul bhi achi nhi lgi I love hina I hate sreesant 😠,Aariba786,24,1,0,3,0,hi,1077611968159191040,,,,,1.077611968159191e+18,https://twitter.com/Hinaholics,"[User(username='Hinaholics', id=1846176986, displayname='Hinaholics✨', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RealKartikk', id=940246004309168128, displayname='ӄǟʀȶɨӄ 💙🎧🎩', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Hinaholics', id=1846176986, displayname='Hinaholics✨', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RealKartikk', id=940246004309168128, displayname='ӄǟʀȶɨӄ 💙🎧🎩', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App
2018-12-25 12:09:14+00:00,1077536746156380160,@SrkianAyeshaa @Hiteshkumawat17 @taran_adarsh Bhut achi baat hai waise #PaidCriticTaranAdarsh ye hi bhut badi gali hogayei ab sb krne ka tha srkian ego hurt nhi krne ka tha😠😠,https://twitter.com/shoeb_srk/status/1077536746156380160,@SrkianAyeshaa @Hiteshkumawat17 @taran_adarsh Bhut achi baat hai waise #PaidCriticTaranAdarsh ye hi bhut badi gali hogayei ab sb krne ka tha srkian ego hurt nhi krne ka tha😠😠,shoeb_srk,8,0,1,0,0,in,1077534954244911104,,,,,,,"[User(username='Hiteshkumawat17', id=802054572, displayname='THE BIG HEARTED ❤', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='taran_adarsh', id=99642673, displayname='taran adarsh', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['PaidCriticTaranAdarsh'],,"[User(username='Hiteshkumawat17', id=802054572, displayname='THE BIG HEARTED ❤', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='taran_adarsh', id=99642673, displayname='taran adarsh', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
